what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1603183834866
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603183838071
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603183841484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603183853787
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603183885108
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603183886466
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603183905359
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1603183909401
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603183911972
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603183915160
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603183923854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603183925415
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603183930168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603183931979
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603183932997
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603183936587
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1603183941432
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603183948217
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1603183964918
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1603183973562
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1603183980501
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603183986456
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1603183988499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603183990638
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603183994114
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603183998910
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1603184000793
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1603184001725
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603184006401
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1603184009922
