what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1607878875082
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1607878875082
java.vm.version,sysinfo,,,"19.0-b09",1607878875082
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607878879934
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1607878880720
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1607878880799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607878891217
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607878894886
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1607878908988
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607878923329
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607878923503
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607878924717
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607878934158
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1607878944056
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1607878944086
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1607878944093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607878947154
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607878951207
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1607878957220
started,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1607878962932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607878963253
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607879016694
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1607879016718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607879024605
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607879034100
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1607879034124
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607879036298
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607879040620
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607879042931
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607879128033
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607879153892
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607879157187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607879158595
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607879160482
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1607879160632
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607879160762
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1607879161214
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1607879161214
stopped,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1607879161214
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1607879161216
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1607879161218
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1607879161219
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1607879161221
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1607879161224
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1607879161226
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1607879161228
stopped,bundle,com.altera.sbtgui.ui,11.1.0.259,"com.altera.sbtgui.ui",1607879161229
stopped,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1607879161229
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1607879161230
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1607879161230
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1607879161232
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1607879161234
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1607879161234
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1607879161236
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1607879161236
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1607879161236
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1607879161236
stopped,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1607879161236
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1607879161236
stopped,bundle,com.altera.sbtgui.flash.plugin,11.1.0.259,"com.altera.sbtgui.flash.plugin",1607879161237
stopped,bundle,com.altera.sbtgui.gprof,11.1.0.259,"com.altera.sbtgui.gprof",1607879161238
