what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870159684
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1607870162207
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1607870162237
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870162637
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870164333
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1607870166488
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1607870166491
opened,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607870168403
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1607870169219
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1607870169234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870216115
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870230871
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870233993
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870236677
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870238126
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870254819
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607870257359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1607870263293
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607870324307
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870332947
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870336707
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1607870337449
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607870337508
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607870337583
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870337596
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870342087
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607870343946
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1607870352987
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607870358393
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870726851
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870775372
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607870779460
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607871058226
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607871454348
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607871462641
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607871487273
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607871491156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607871493782
